StudentID,Age,Gender,MaritalStatus,HighSchoolGPA,EntranceScore,StudyProgram,YearOfStudy,Modeofstudy,PartTimeFullTime,Scholarship,FinancialAid,TuitionStatus,UniversityGPA,CourseFailures,AcademicProbation,ClubParticipation,LibraryUses,DistanceFromHome,EmploymentStatus,Churn
14,21,F,Divorced,69.49,1389.53,Sciences,4,Block,Part-time,False,False,Paid,3.93,6,True,High,65,53,Employed,0
15,25,M,Married,87.7,1579.12,Arts,3,Block,Full-time,True,True,Unpaid,3.84,8,False,High,67,861,Employed,0
16,25,F,Single,91.19,1104.09,Engineering,5,Block,Full-time,False,True,Paid,1.66,3,True,High,45,156,Unemployed,0
17,20,M,Married,69.56,851.58,Engineering,1,Block,Part-time,False,True,Paid,3.48,6,True,Medium,18,675,Unemployed,1
18,23,M,Divorced,70.28,1590.38,Sciences,3,Conventional,Part-time,False,False,Paid,3.42,6,True,Medium,6,709,Employed,1
19,22,M,Single,72.28,1299.05,Engineering,5,Conventional,Part-time,True,False,Paid,3.89,6,False,High,41,825,Unemployed,1
20,19,M,Married,83.92,1557.16,Sciences,2,Block,Part-time,True,False,Unpaid,2.53,9,False,High,15,508,Unemployed,1
21,25,F,Divorced,66.87,883.06,Sciences,3,Conventional,Full-time,False,True,Paid,2.59,4,False,Low,51,386,Unemployed,0
22,29,F,Married,64.17,1073.63,Arts,2,Conventional,Part-time,False,True,Unpaid,3.36,5,False,Medium,32,584,Employed,1
23,23,F,Single,87.15,907.15,Business,1,Block,Part-time,True,True,Paid,4.0,3,False,Medium,38,993,Self-employed,1
24,19,F,Divorced,91.16,1468.41,Sciences,2,Conventional,Full-time,False,False,Paid,1.93,8,True,High,42,400,Employed,1
25,29,M,Married,80.04,1504.27,Arts,1,Conventional,Part-time,False,False,Unpaid,3.05,3,True,High,83,87,Employed,0
26,22,M,Single,74.55,1201.05,Arts,4,Conventional,Part-time,True,False,Unpaid,3.01,8,False,High,45,123,Employed,1
27,18,F,Single,77.28,949.28,Arts,4,Conventional,Full-time,False,True,Paid,3.57,8,True,Low,3,336,Self-employed,0
28,29,F,Married,75.54,901.7,Business,1,Conventional,Full-time,False,False,Unpaid,2.95,4,True,Low,14,126,Employed,0
29,27,M,Single,98.4,1270.53,Engineering,5,Conventional,Part-time,False,True,Paid,2.37,8,False,Medium,42,311,Self-employed,0
30,23,M,Divorced,90.72,1205.1,Sciences,4,Block,Full-time,False,True,Unpaid,1.93,8,False,Medium,29,327,Employed,0
31,29,F,Single,68.32,1355.83,Sciences,5,Conventional,Part-time,True,False,Paid,3.91,2,False,Low,38,599,Employed,0
32,26,F,Married,75.37,1044.17,Engineering,5,Block,Full-time,True,True,Paid,2.01,2,False,Low,42,863,Self-employed,1
33,18,F,Divorced,81.76,1121.89,Engineering,5,Conventional,Full-time,False,True,Paid,1.77,3,True,High,13,432,Employed,0
34,28,M,Single,84.52,817.09,Arts,3,Conventional,Part-time,True,True,Paid,3.38,7,False,Low,69,272,Employed,1
35,28,F,Single,78.73,1288.11,Arts,3,Block,Part-time,False,True,Unpaid,2.49,2,False,Low,85,483,Employed,1
36,27,F,Divorced,92.41,1138.51,Engineering,5,Conventional,Part-time,True,True,Unpaid,1.55,1,False,High,17,99,Employed,0
37,29,F,Divorced,90.7,1535.81,Sciences,1,Block,Part-time,True,True,Paid,2.08,5,False,Low,45,450,Unemployed,0
38,29,F,Single,80.21,1313.43,Engineering,4,Conventional,Full-time,True,False,Unpaid,1.61,2,False,High,78,249,Unemployed,1
39,20,F,Divorced,94.18,1118.96,Engineering,2,Block,Part-time,True,True,Paid,1.63,8,True,Low,20,155,Self-employed,1
40,29,M,Married,90.04,1010.87,Business,3,Block,Part-time,True,False,Unpaid,1.23,9,True,High,99,211,Self-employed,0
41,24,F,Single,91.14,1524.23,Business,3,Conventional,Part-time,True,True,Unpaid,2.94,8,False,Medium,75,870,Unemployed,1
42,21,M,Married,98.26,813.01,Arts,2,Conventional,Full-time,False,True,Paid,2.11,9,True,High,90,644,Employed,0
43,26,F,Single,70.66,1061.53,Arts,5,Block,Part-time,True,False,Unpaid,1.18,5,False,High,60,170,Employed,1
44,20,F,Married,70.71,1554.8,Sciences,2,Block,Full-time,False,False,Unpaid,2.95,4,False,High,74,235,Employed,1
45,22,F,Married,95.56,1323.23,Engineering,5,Conventional,Part-time,False,False,Unpaid,1.89,1,True,High,94,26,Employed,0
46,20,M,Divorced,90.89,1226.18,Engineering,3,Conventional,Full-time,True,False,Unpaid,1.49,7,False,Medium,64,835,Self-employed,0
47,24,M,Single,97.06,962.83,Business,2,Conventional,Full-time,False,False,Paid,3.88,2,False,Low,24,965,Unemployed,1
48,22,M,Divorced,62.53,1466.7,Sciences,1,Block,Full-time,False,True,Paid,1.22,4,False,Low,88,197,Unemployed,0
49,26,F,Divorced,85.11,963.36,Engineering,4,Conventional,Full-time,True,False,Unpaid,2.16,9,False,High,80,353,Employed,1
50,24,F,Single,65.79,998.6,Sciences,4,Block,Full-time,True,True,Paid,2.85,3,True,High,70,480,Unemployed,0
51,19,M,Married,80.16,953.48,Business,4,Block,Part-time,True,False,Paid,3.98,2,False,Low,31,847,Employed,0
52,21,M,Single,66.23,926.52,Engineering,2,Conventional,Full-time,False,False,Unpaid,1.25,2,False,Medium,47,311,Employed,0
53,26,F,Single,65.12,1562.65,Business,5,Block,Full-time,False,True,Paid,3.79,8,False,High,88,344,Employed,0
54,29,M,Single,60.49,1281.63,Business,3,Block,Full-time,False,True,Unpaid,3.64,1,True,High,81,983,Self-employed,0
55,19,F,Divorced,85.21,1310.27,Business,4,Block,Part-time,True,False,Paid,3.34,2,False,Medium,34,289,Unemployed,1
56,27,M,Single,74.36,1563.46,Engineering,2,Conventional,Part-time,False,True,Paid,1.31,4,False,High,89,262,Employed,1
57,26,M,Single,64.21,984.46,Sciences,4,Block,Full-time,False,True,Unpaid,1.87,3,False,Medium,75,846,Self-employed,0
58,27,M,Single,72.91,804.73,Engineering,5,Conventional,Part-time,True,False,Unpaid,1.81,8,False,Medium,77,58,Employed,1
59,22,F,Married,66.76,1279.11,Business,1,Conventional,Part-time,False,True,Paid,2.6,4,False,Low,7,242,Unemployed,1
60,19,F,Married,97.67,1206.28,Arts,1,Block,Part-time,False,False,Paid,1.36,9,False,Medium,21,508,Self-employed,0
61,21,M,Married,72.8,1182.12,Sciences,3,Conventional,Part-time,True,False,Paid,3.45,4,False,Medium,75,671,Employed,0
62,29,F,Married,73.36,849.5,Arts,1,Conventional,Part-time,False,False,Paid,3.05,6,False,Medium,31,90,Self-employed,1
63,29,F,Divorced,93.59,1163.55,Business,1,Conventional,Part-time,False,False,Paid,3.58,3,True,High,45,240,Self-employed,1
64,24,F,Divorced,85.91,1030.05,Engineering,2,Conventional,Part-time,True,False,Paid,1.67,4,True,Low,12,680,Employed,0
65,29,F,Single,88.41,1019.65,Sciences,2,Conventional,Full-time,True,False,Unpaid,2.86,0,True,High,32,964,Self-employed,0
66,25,M,Divorced,85.44,977.91,Arts,3,Block,Part-time,True,False,Paid,3.55,6,True,High,0,339,Unemployed,0
67,20,F,Married,97.85,1066.02,Engineering,3,Conventional,Full-time,True,True,Paid,1.15,3,True,Low,91,513,Self-employed,1
68,18,F,Single,68.28,1082.51,Sciences,2,Conventional,Full-time,True,False,Unpaid,2.65,1,False,Low,66,267,Self-employed,1
69,21,M,Single,99.56,1047.02,Business,1,Conventional,Part-time,True,True,Paid,3.18,6,True,Medium,79,9,Unemployed,1
70,19,F,Married,93.24,1583.0,Business,5,Block,Part-time,False,True,Unpaid,2.11,7,True,Low,49,648,Unemployed,0
71,25,F,Married,83.56,1546.18,Business,1,Conventional,Part-time,True,False,Paid,2.06,8,True,High,31,856,Employed,0
72,21,F,Married,86.49,1259.61,Engineering,1,Conventional,Part-time,True,True,Paid,1.1,7,False,Medium,9,648,Unemployed,0
73,19,M,Divorced,85.95,1584.84,Engineering,5,Block,Full-time,False,True,Unpaid,2.47,7,True,Medium,0,533,Self-employed,0
74,23,M,Single,62.34,1592.96,Business,3,Conventional,Part-time,False,True,Paid,2.79,7,False,Low,70,517,Unemployed,0
75,23,F,Married,68.72,1084.75,Business,2,Block,Full-time,False,True,Unpaid,3.22,6,True,High,46,47,Employed,0
76,27,F,Single,98.46,1156.15,Sciences,3,Conventional,Part-time,False,True,Paid,1.26,1,False,Medium,6,344,Self-employed,1
77,21,M,Single,81.37,1567.25,Arts,3,Conventional,Part-time,True,False,Unpaid,2.25,1,True,Low,61,566,Self-employed,1
78,23,M,Divorced,75.13,1286.9,Sciences,3,Conventional,Full-time,False,False,Paid,1.77,8,False,Medium,51,472,Self-employed,0
79,19,M,Single,90.48,970.34,Arts,2,Block,Full-time,True,True,Paid,1.62,0,False,Low,67,50,Self-employed,0
80,27,F,Married,80.98,1351.5,Engineering,3,Block,Full-time,False,False,Paid,1.74,0,False,High,3,684,Employed,1
81,29,F,Married,60.53,964.6,Sciences,3,Block,Part-time,True,False,Paid,2.08,6,False,Low,56,354,Self-employed,1
82,19,M,Single,89.45,1071.49,Engineering,4,Conventional,Full-time,True,True,Paid,3.2,9,False,Low,88,934,Self-employed,0
83,27,F,Single,89.29,982.05,Engineering,1,Block,Full-time,True,True,Unpaid,2.31,5,False,High,4,223,Unemployed,0
84,21,F,Divorced,66.61,995.98,Arts,4,Block,Full-time,True,True,Paid,1.19,5,True,High,70,348,Employed,0
85,25,F,Married,98.27,803.72,Arts,2,Block,Part-time,True,False,Unpaid,2.04,7,True,Low,54,991,Employed,1
86,24,F,Married,68.96,1504.57,Sciences,5,Conventional,Full-time,True,True,Unpaid,1.33,3,True,Low,66,939,Unemployed,0
87,29,F,Single,78.31,1036.79,Sciences,5,Block,Full-time,True,True,Unpaid,1.64,4,True,High,56,244,Employed,1
88,26,F,Single,64.59,869.1,Sciences,4,Block,Part-time,True,False,Unpaid,1.39,4,True,Medium,98,130,Unemployed,1
89,25,F,Single,84.13,869.59,Arts,4,Block,Full-time,True,True,Unpaid,3.92,5,True,Medium,74,923,Unemployed,0
90,22,M,Married,75.02,1244.81,Business,4,Block,Full-time,False,False,Paid,3.64,0,False,Low,75,679,Employed,0
91,19,M,Single,74.13,1594.34,Business,1,Conventional,Full-time,True,False,Paid,2.87,3,False,High,38,659,Self-employed,0
92,22,M,Divorced,93.08,916.02,Arts,2,Block,Full-time,True,False,Paid,1.75,2,True,Medium,79,268,Unemployed,0
93,25,M,Divorced,60.38,879.7,Sciences,3,Block,Part-time,False,True,Unpaid,1.52,6,False,High,42,521,Self-employed,0
94,27,M,Single,91.92,1150.64,Business,4,Conventional,Full-time,True,True,Unpaid,3.53,0,True,Medium,70,47,Unemployed,1
95,26,M,Divorced,82.86,1250.67,Engineering,1,Block,Part-time,False,True,Unpaid,1.22,1,True,Low,84,182,Unemployed,1
96,29,M,Divorced,99.44,1035.5,Business,5,Block,Full-time,False,True,Unpaid,3.08,7,False,Medium,9,221,Unemployed,0
97,29,M,Divorced,83.58,1042.02,Business,5,Conventional,Part-time,True,False,Unpaid,1.88,1,True,High,81,93,Self-employed,0
98,29,M,Divorced,62.22,1139.58,Arts,5,Conventional,Part-time,True,False,Unpaid,2.47,8,True,Medium,28,380,Employed,1
99,26,F,Divorced,62.03,1051.32,Arts,4,Block,Part-time,True,False,Unpaid,3.19,3,False,High,25,729,Employed,0
100,18,F,Married,95.33,1532.27,Business,5,Conventional,Part-time,True,False,Unpaid,1.11,2,False,Low,29,827,Employed,0
101,26,M,Single,93.65,833.56,Engineering,5,Block,Full-time,True,True,Paid,1.53,3,False,Low,64,223,Self-employed,1
102,24,F,Divorced,73.84,987.66,Engineering,5,Conventional,Part-time,False,False,Paid,2.94,8,True,Low,37,563,Employed,0
103,26,F,Single,84.72,1446.84,Sciences,3,Block,Part-time,False,True,Unpaid,3.76,6,True,High,14,312,Self-employed,0
104,25,M,Divorced,79.58,1467.17,Business,5,Conventional,Full-time,True,True,Unpaid,1.77,3,True,High,88,318,Self-employed,1
105,18,M,Married,98.69,889.24,Business,1,Conventional,Part-time,True,False,Unpaid,1.45,6,True,Medium,18,440,Unemployed,0
106,29,M,Married,98.0,1579.01,Engineering,4,Conventional,Full-time,False,False,Paid,3.77,7,True,High,27,794,Self-employed,0
107,25,F,Divorced,99.35,1354.68,Arts,3,Block,Part-time,True,True,Unpaid,3.6,7,True,Medium,96,90,Unemployed,1
108,25,F,Divorced,94.66,1018.07,Business,3,Conventional,Full-time,False,False,Unpaid,3.73,5,False,Medium,14,313,Unemployed,0
109,28,M,Divorced,96.38,1164.83,Engineering,4,Block,Full-time,True,False,Paid,1.37,0,True,Medium,77,460,Unemployed,1
110,20,F,Married,68.69,1037.71,Business,5,Block,Part-time,True,True,Unpaid,3.77,9,False,Low,60,100,Self-employed,0
111,18,F,Married,93.24,920.02,Arts,5,Conventional,Full-time,True,False,Paid,2.74,2,True,Low,37,442,Self-employed,1
112,25,F,Single,88.35,1032.94,Sciences,2,Block,Part-time,True,True,Paid,3.0,5,True,Medium,98,933,Self-employed,0
113,20,M,Married,98.51,1264.07,Arts,5,Block,Part-time,False,True,Paid,2.36,0,False,High,31,343,Unemployed,0
114,20,F,Divorced,82.85,1460.78,Arts,1,Block,Part-time,True,True,Paid,2.07,4,False,High,77,655,Employed,0
115,18,F,Single,63.41,1090.82,Engineering,5,Block,Full-time,True,False,Unpaid,1.34,1,True,High,76,841,Unemployed,0
116,28,F,Married,83.9,1078.32,Engineering,4,Block,Full-time,True,True,Paid,1.67,0,False,Medium,40,348,Unemployed,0
117,22,F,Married,87.46,1174.4,Arts,5,Block,Part-time,True,False,Paid,2.76,9,False,Medium,84,600,Employed,0
118,27,F,Divorced,68.81,1315.64,Engineering,4,Conventional,Full-time,True,False,Unpaid,1.95,2,True,Medium,75,367,Self-employed,0
119,24,F,Single,75.76,1401.29,Arts,3,Block,Full-time,True,False,Unpaid,1.36,1,False,High,14,279,Unemployed,0
120,27,F,Married,83.94,1061.44,Arts,2,Block,Part-time,False,True,Unpaid,3.13,5,True,Low,87,175,Employed,0
121,26,M,Married,74.96,1269.08,Business,3,Conventional,Full-time,True,True,Paid,2.59,5,True,High,83,691,Employed,1
122,29,M,Divorced,75.0,1111.49,Arts,4,Conventional,Full-time,True,False,Paid,1.12,6,False,Medium,62,671,Employed,0
123,24,F,Single,65.32,1373.12,Sciences,2,Conventional,Part-time,True,True,Paid,3.02,6,True,Low,0,286,Self-employed,1
124,26,M,Single,97.63,931.74,Engineering,3,Block,Part-time,False,True,Unpaid,3.58,4,True,High,42,371,Self-employed,1
125,25,F,Single,90.02,1005.54,Sciences,5,Conventional,Full-time,False,True,Paid,3.33,2,True,High,13,740,Employed,1
126,29,F,Single,60.05,1140.85,Engineering,5,Block,Full-time,False,True,Paid,3.77,5,True,High,1,991,Employed,0
127,19,F,Divorced,90.62,1511.53,Arts,2,Conventional,Full-time,True,False,Paid,2.01,2,False,Medium,7,625,Self-employed,0
128,18,M,Married,89.59,1258.66,Sciences,3,Block,Part-time,False,True,Unpaid,1.26,4,True,Medium,10,557,Self-employed,1
129,24,F,Married,60.39,1572.32,Business,1,Block,Full-time,False,True,Paid,3.14,2,True,Medium,19,13,Unemployed,1
130,24,F,Single,74.78,882.62,Arts,1,Conventional,Full-time,False,True,Paid,3.71,5,True,Low,43,391,Self-employed,1
131,25,M,Single,84.27,1168.14,Arts,1,Block,Full-time,False,False,Unpaid,1.96,3,True,High,58,30,Self-employed,0
132,22,M,Single,78.11,1135.26,Arts,3,Conventional,Part-time,True,False,Unpaid,1.8,8,True,High,16,124,Self-employed,1
133,20,F,Married,91.12,1280.16,Business,3,Block,Full-time,False,True,Unpaid,3.14,1,False,High,11,377,Self-employed,0
134,29,M,Married,77.02,1449.57,Sciences,3,Conventional,Full-time,True,True,Unpaid,3.18,6,True,Medium,83,901,Unemployed,1
135,25,M,Single,66.15,1473.16,Arts,4,Block,Part-time,False,False,Paid,3.49,4,True,High,73,588,Unemployed,0
136,23,F,Divorced,99.06,1336.16,Sciences,1,Conventional,Full-time,False,False,Paid,3.24,8,True,Low,20,863,Employed,0
137,28,F,Married,69.68,1313.23,Arts,1,Conventional,Full-time,True,False,Paid,2.2,9,True,Low,66,682,Employed,0
138,20,F,Married,88.71,1559.22,Arts,1,Conventional,Part-time,False,False,Paid,2.27,4,True,Low,3,506,Unemployed,0
139,18,M,Single,65.73,1106.95,Arts,4,Block,Full-time,False,True,Paid,3.41,4,True,High,87,239,Self-employed,1
140,20,M,Divorced,73.16,1466.23,Business,4,Block,Full-time,True,True,Paid,1.8,1,True,Low,53,278,Employed,0
141,22,M,Single,77.68,1537.2,Arts,3,Conventional,Part-time,False,False,Unpaid,1.33,2,True,High,26,373,Unemployed,1
142,20,F,Single,67.69,1193.23,Sciences,1,Block,Full-time,False,True,Paid,1.65,5,True,Low,94,534,Unemployed,0
143,18,M,Divorced,78.0,1383.28,Arts,1,Block,Full-time,False,False,Unpaid,2.52,3,True,High,73,65,Employed,1
144,22,M,Divorced,66.29,1101.62,Sciences,5,Conventional,Full-time,True,False,Paid,2.71,2,False,Low,67,150,Employed,0
145,27,F,Divorced,82.36,927.1,Sciences,5,Conventional,Full-time,False,True,Paid,1.21,4,True,Low,75,8,Employed,0
146,24,F,Married,86.55,1269.2,Engineering,5,Conventional,Full-time,True,False,Unpaid,1.91,8,True,Low,78,501,Employed,1
147,24,F,Single,62.5,957.18,Sciences,4,Block,Full-time,True,True,Unpaid,3.25,2,False,High,89,657,Employed,1
148,28,M,Married,94.85,1166.08,Engineering,3,Block,Part-time,False,True,Unpaid,3.59,6,False,Low,33,688,Employed,1
149,26,F,Divorced,67.41,1498.3,Business,2,Conventional,Part-time,True,True,Paid,1.39,8,True,Medium,0,741,Unemployed,0
150,27,M,Married,69.01,868.81,Arts,1,Conventional,Part-time,False,True,Unpaid,2.56,3,False,Low,58,283,Self-employed,0
151,27,M,Divorced,86.45,824.34,Business,5,Block,Part-time,True,True,Unpaid,1.45,6,False,Low,51,63,Employed,1
152,29,F,Divorced,78.75,1285.18,Business,1,Conventional,Full-time,False,False,Paid,3.17,6,True,Low,44,874,Self-employed,0
153,20,F,Single,79.98,1064.85,Sciences,1,Block,Part-time,True,True,Unpaid,1.47,2,False,Low,17,782,Unemployed,0
154,24,F,Single,65.13,1134.35,Arts,1,Conventional,Part-time,False,False,Paid,1.29,0,True,Low,72,738,Employed,1
155,18,F,Single,92.23,1124.57,Arts,3,Conventional,Part-time,False,True,Unpaid,2.32,3,False,Low,49,353,Self-employed,1
156,21,F,Married,84.68,869.3,Business,1,Conventional,Part-time,True,True,Unpaid,1.28,8,False,High,33,389,Self-employed,1
157,21,M,Single,65.42,802.85,Engineering,3,Conventional,Full-time,False,False,Unpaid,3.45,9,False,High,53,810,Employed,1
158,22,M,Divorced,74.96,1518.74,Engineering,2,Conventional,Full-time,True,True,Unpaid,3.48,6,True,Medium,53,728,Unemployed,1
159,24,M,Single,92.42,974.24,Sciences,2,Block,Full-time,False,True,Unpaid,2.54,9,False,Medium,51,964,Self-employed,0
160,24,F,Married,82.73,1140.86,Engineering,4,Conventional,Part-time,True,True,Unpaid,2.72,5,False,High,29,149,Employed,1
161,28,M,Single,64.35,1577.54,Engineering,1,Conventional,Part-time,False,False,Paid,1.4,4,True,Medium,3,281,Employed,0
162,21,F,Single,74.91,1461.41,Business,5,Block,Part-time,True,True,Unpaid,1.83,9,True,Low,52,345,Self-employed,0
163,24,F,Single,69.71,886.34,Engineering,4,Conventional,Part-time,True,True,Paid,1.36,9,True,High,23,404,Employed,1
164,28,M,Married,80.7,1206.82,Arts,4,Conventional,Full-time,True,False,Paid,1.64,0,False,Low,49,939,Employed,0
165,20,M,Divorced,93.73,1384.06,Business,2,Conventional,Full-time,False,False,Unpaid,2.18,3,True,Medium,44,982,Self-employed,1
166,23,F,Divorced,77.45,1358.71,Business,5,Conventional,Part-time,False,False,Unpaid,3.05,2,False,Low,60,544,Self-employed,0
167,29,M,Divorced,77.33,1408.67,Engineering,1,Conventional,Full-time,False,True,Paid,3.18,2,False,Medium,89,738,Unemployed,1
168,19,F,Single,96.21,1165.96,Arts,1,Block,Part-time,False,True,Unpaid,2.33,0,False,High,6,339,Self-employed,0
169,27,M,Single,83.05,940.74,Arts,2,Block,Part-time,False,True,Paid,1.88,2,False,Low,44,766,Self-employed,0
170,26,M,Married,82.65,1171.9,Engineering,3,Conventional,Full-time,False,True,Paid,3.43,9,True,High,84,513,Unemployed,0
171,22,M,Divorced,70.48,1318.31,Arts,2,Block,Full-time,True,True,Paid,2.31,9,False,Medium,77,17,Unemployed,0
172,23,M,Single,84.31,1286.87,Sciences,5,Conventional,Part-time,True,True,Unpaid,2.68,7,True,Low,33,598,Self-employed,0
173,29,M,Single,83.04,856.42,Sciences,3,Block,Part-time,False,True,Unpaid,1.8,3,False,Medium,9,166,Self-employed,0
174,29,F,Single,75.87,851.96,Engineering,5,Conventional,Full-time,True,True,Unpaid,1.2,6,True,Low,10,357,Unemployed,0
175,29,M,Married,99.63,1572.21,Business,1,Conventional,Full-time,False,True,Paid,1.49,1,True,Low,44,849,Self-employed,1
176,29,M,Divorced,95.28,921.44,Business,3,Conventional,Part-time,False,True,Paid,3.14,6,True,Medium,48,874,Unemployed,1
177,21,M,Married,89.98,1035.57,Arts,5,Block,Part-time,False,True,Unpaid,1.83,5,False,High,39,466,Unemployed,1
178,28,F,Divorced,81.49,1414.11,Sciences,1,Block,Full-time,False,True,Paid,1.38,7,False,Low,50,553,Unemployed,0
179,27,F,Divorced,78.48,1127.74,Business,5,Block,Full-time,True,True,Paid,2.93,7,False,High,70,487,Unemployed,1
180,24,F,Single,67.4,945.17,Arts,3,Block,Part-time,True,False,Unpaid,2.43,7,True,High,98,496,Employed,1
181,29,F,Single,72.23,1173.79,Sciences,1,Block,Full-time,False,True,Paid,1.07,9,False,High,27,267,Employed,1
182,26,F,Single,90.96,1255.16,Business,5,Block,Part-time,True,False,Unpaid,3.97,3,False,High,61,333,Employed,1
183,24,M,Single,78.15,1162.21,Arts,4,Conventional,Full-time,True,True,Paid,2.15,8,False,Low,14,328,Unemployed,0
184,18,M,Single,95.29,1535.16,Engineering,3,Conventional,Part-time,True,False,Paid,2.97,7,False,High,37,736,Unemployed,1
185,18,M,Divorced,65.92,1027.76,Engineering,3,Block,Full-time,False,False,Unpaid,3.95,3,False,Low,48,56,Unemployed,0
186,26,F,Single,80.33,1329.07,Business,3,Conventional,Part-time,False,False,Paid,2.9,1,False,High,0,65,Employed,0
187,28,F,Single,85.88,889.84,Arts,1,Conventional,Full-time,True,True,Paid,1.93,0,False,High,49,685,Employed,0
188,26,M,Married,80.67,1113.83,Sciences,3,Conventional,Part-time,True,False,Unpaid,2.46,1,False,Medium,13,12,Employed,1
189,21,F,Married,95.57,1392.79,Engineering,5,Block,Full-time,False,False,Paid,1.31,4,False,Medium,12,116,Employed,1
190,26,F,Divorced,99.58,979.85,Sciences,4,Block,Full-time,False,False,Paid,1.51,4,True,Medium,21,188,Employed,0
191,20,F,Divorced,64.63,1271.82,Arts,5,Block,Full-time,False,False,Paid,1.93,9,False,Low,56,396,Self-employed,1
192,24,M,Married,65.2,922.75,Engineering,5,Conventional,Full-time,False,True,Unpaid,1.25,1,True,High,84,188,Employed,0
193,23,M,Married,65.21,882.16,Business,3,Block,Full-time,True,False,Paid,1.34,3,False,Medium,40,355,Employed,0
194,25,F,Single,87.25,1218.59,Engineering,4,Conventional,Full-time,False,True,Unpaid,3.52,7,True,High,36,775,Self-employed,0
195,28,F,Single,74.91,1340.01,Business,4,Conventional,Part-time,False,True,Paid,1.75,0,False,Low,81,595,Employed,1
196,26,F,Divorced,89.33,890.69,Sciences,4,Conventional,Part-time,False,False,Unpaid,1.97,1,False,Low,72,984,Unemployed,0
197,22,F,Married,76.22,1534.22,Engineering,4,Conventional,Part-time,False,True,Paid,1.52,1,False,Low,94,6,Employed,1
198,18,M,Divorced,85.1,980.62,Arts,2,Conventional,Full-time,False,False,Paid,2.21,4,True,Medium,99,547,Self-employed,1
199,20,F,Single,90.79,895.98,Sciences,4,Conventional,Part-time,True,True,Unpaid,3.09,1,False,Low,4,257,Employed,0
200,27,M,Divorced,81.93,962.16,Sciences,3,Block,Full-time,False,True,Unpaid,3.84,7,False,Medium,30,552,Employed,0
201,29,M,Divorced,81.58,935.66,Business,4,Conventional,Part-time,False,True,Unpaid,2.62,2,False,High,64,879,Self-employed,1
202,25,M,Divorced,63.53,872.54,Arts,5,Conventional,Part-time,False,False,Paid,1.9,2,True,Low,85,892,Unemployed,0
203,28,F,Single,76.43,1438.27,Sciences,2,Conventional,Full-time,True,True,Paid,2.53,7,False,Medium,56,168,Employed,1
204,23,M,Divorced,81.83,1196.43,Engineering,5,Conventional,Full-time,True,True,Unpaid,1.38,0,False,Medium,14,109,Unemployed,1
205,25,M,Single,78.48,1110.82,Business,3,Block,Full-time,False,True,Paid,3.03,3,True,Medium,89,793,Employed,1
206,26,F,Married,96.03,1560.5,Arts,3,Conventional,Full-time,True,False,Unpaid,1.99,6,False,Medium,28,903,Unemployed,1
207,21,F,Divorced,96.26,1096.81,Business,4,Block,Full-time,False,False,Paid,3.83,4,False,High,53,976,Self-employed,0
208,18,F,Divorced,92.88,933.58,Business,3,Conventional,Full-time,True,False,Unpaid,2.98,2,True,Low,40,568,Unemployed,1
209,18,M,Single,75.01,1019.23,Sciences,2,Block,Part-time,False,True,Unpaid,2.43,7,True,Medium,90,417,Employed,1
210,27,F,Divorced,88.69,991.17,Engineering,5,Block,Full-time,False,False,Paid,1.69,4,True,Low,33,257,Unemployed,0
211,21,M,Single,75.81,1198.99,Engineering,3,Block,Full-time,False,True,Paid,1.28,5,False,Medium,84,151,Unemployed,1
